Date,Symbol,Close
1/2/2019,USB,46.35
1/3/2019,USB,45.7
1/4/2019,USB,46.83
1/7/2019,USB,46.61
1/8/2019,USB,46.91
1/9/2019,USB,47.41
1/10/2019,USB,47.31
1/11/2019,USB,47.44
1/14/2019,USB,47.79
1/15/2019,USB,47.97
1/16/2019,USB,49.11
1/17/2019,USB,49.75
1/18/2019,USB,50.22
1/22/2019,USB,50.14
1/23/2019,USB,50.53
1/24/2019,USB,50.89
1/25/2019,USB,51.37
1/28/2019,USB,51.27
1/29/2019,USB,51.05
1/30/2019,USB,51.04
1/31/2019,USB,51.16
2/1/2019,USB,51.29
2/4/2019,USB,51.57
2/5/2019,USB,51.48
2/6/2019,USB,51.44
2/7/2019,USB,50.95
2/8/2019,USB,50.58
2/11/2019,USB,50.55
2/12/2019,USB,51.21
2/13/2019,USB,50.91
2/14/2019,USB,50.46
2/15/2019,USB,51.31
2/19/2019,USB,51.31
2/20/2019,USB,51.6
2/21/2019,USB,51.05
2/22/2019,USB,51.28
2/25/2019,USB,51.61
2/26/2019,USB,51.3
2/27/2019,USB,51.54
2/28/2019,USB,51.69
3/1/2019,USB,51.72
3/4/2019,USB,51.67
3/5/2019,USB,51.54
3/6/2019,USB,51.1
3/7/2019,USB,50.68
3/8/2019,USB,50.87
3/11/2019,USB,51.46
3/12/2019,USB,51.05
3/13/2019,USB,51.58
3/14/2019,USB,51.71
3/15/2019,USB,52.07
3/18/2019,USB,52.45
3/19/2019,USB,51.93
3/20/2019,USB,50.37
3/21/2019,USB,49.66
3/22/2019,USB,48.28
3/25/2019,USB,48.1
3/26/2019,USB,48.51
3/27/2019,USB,48.13
3/28/2019,USB,48.04
3/29/2019,USB,48.19
4/1/2019,USB,49.07
4/2/2019,USB,49.14
4/3/2019,USB,49.42
4/4/2019,USB,49.79
4/5/2019,USB,49.7
4/8/2019,USB,49.88
4/9/2019,USB,49.22
4/10/2019,USB,49.3
4/11/2019,USB,49.61
4/12/2019,USB,50.22
4/15/2019,USB,49.89
4/16/2019,USB,50.28
4/17/2019,USB,50.67
4/18/2019,USB,51.21
4/22/2019,USB,51.2
4/23/2019,USB,51.69
4/24/2019,USB,51.68
4/25/2019,USB,51.84
4/26/2019,USB,52.34
4/29/2019,USB,53
4/30/2019,USB,53.32
5/1/2019,USB,53.11
5/2/2019,USB,53.18
5/3/2019,USB,53.48
5/6/2019,USB,53.34
5/7/2019,USB,52.56
5/8/2019,USB,52.22
5/9/2019,USB,52.12
5/10/2019,USB,52.17
5/13/2019,USB,50.81
5/14/2019,USB,51.05
5/15/2019,USB,50.79
5/16/2019,USB,51.5
5/17/2019,USB,51.56
5/20/2019,USB,51.72
5/21/2019,USB,51.9
5/22/2019,USB,51.85
5/23/2019,USB,51.17
5/24/2019,USB,51.33
5/28/2019,USB,50.67
5/29/2019,USB,50.6
5/30/2019,USB,50.4
5/31/2019,USB,50.2
6/3/2019,USB,50.73
6/4/2019,USB,52.21
6/5/2019,USB,52.51
6/6/2019,USB,52.77
6/7/2019,USB,52.67
6/10/2019,USB,52.9
6/11/2019,USB,53.18
6/12/2019,USB,52.69
6/13/2019,USB,52.69
6/14/2019,USB,52.62
6/17/2019,USB,51.51
6/18/2019,USB,52.19
6/19/2019,USB,52.12
6/20/2019,USB,52.16
6/21/2019,USB,52.26
6/24/2019,USB,52.3
6/25/2019,USB,52.04
6/26/2019,USB,51.98
6/27/2019,USB,51.98
6/28/2019,USB,52.4
7/1/2019,USB,53.01
7/2/2019,USB,52.93
7/3/2019,USB,53.25
7/5/2019,USB,53.68
7/8/2019,USB,53.1
7/9/2019,USB,53.34
7/10/2019,USB,53.18
7/11/2019,USB,53.47
7/12/2019,USB,53.6
7/15/2019,USB,53.12
7/16/2019,USB,53.04
